id,target,cue_zh,inferred_value,confidence,source
MID_shearwall_thick,shear_wall,厚度超過20公分且周圍有梁柱框架且無門窗開口,member_type=shear_wall;material=reinforced_concrete,medium,判定準則;台北結構技師公會
MID_rcwall_15,rc_wall,梯間電梯間通常15公分以上RC牆分戶牆86年後通常15公分RC,member_type=rc_wall;material=reinforced_concrete,medium,判定準則
MID_brick_joint,bearing_wall,紅磚砌體可見磚縫裂縫沿磚塊或砂漿界面,material=brick_masonry,high,判定準則;教材
MID_old_brick,bearing_wall,三樓以下老舊建物外牆多為磚牆民國50年前日據時代,material=brick_masonry;building_age_hint=old_pre1980,medium,自行檢測簡易手冊;判定準則
MID_partition_light,partition_wall,內部分間牆為磚牆或輕隔間矽酸鈣板居多,material=light_partition;member_type=partition_wall,medium,判定準則
MID_confined_masonry,bearing_wall,加強磚造磚牆配合鋼筋混凝土框架梁柱,material=confined_masonry,medium,判定準則;教材
MID_sill_wall_exclude,spandrel_or_sill_wall,窗台牆不計入結構評估但可束制柱形成短柱,member_type=spandrel_or_sill_wall;structural_role=non_structural,high,判定準則
MID_rc_recent,column,近期建築主結構多為RC梁柱框架,material=reinforced_concrete;building_age_hint=recent_post1997,low,安全耐震我的家;耐震評估補強方案
MID_src_high,column,鋼骨鋼筋混凝土SRC適用高樓及超高大樓型鋼組合梁柱再配筋灌漿,material=src,low,安全耐震我的家
MID_steel_clad,column,鋼骨構造大部分構材有包覆材外觀難判由樓版下陷層間變位推測,material=steel;exposed_material=steel_under_cladding,low,教材;安全耐震我的家
MID_exposed_render,column,剝落後裸露水泥粉刷層,exposed_material=cement_render;damage_depth=plaster,high,判定準則
MID_exposed_brick,bearing_wall,剝落後裸露磚砌體,exposed_material=brick_body,high,判定準則
MID_exposed_rebar,column,剝落後裸露鋼筋,exposed_material=rebar;damage_depth=cover,high,判定準則
MID_exposed_core,column,剝落後裸露核心混凝土骨材,exposed_material=core_concrete_aggregate;damage_depth=core,high,判定準則
MID_nonstruct_wall_def,rc_wall,結構性剪力牆以外的1B以上完整磚牆RC牆或校舍三面窗台為非結構牆,structural_role=non_structural,medium,耐震評估補強方案
MID_age_render,column,老舊多磚造加強磚造較新多RC或SRC或鋼構,building_age_hint,low,context_schema;耐震評估補強方案
