id,member_type,grade,cond_rebar_state,cond_concrete_state,cond_width_min_mm,cond_width_max_mm,cond_orientation,cond_extra
GC_col_I,column,I,not_exposed,intact|cracked,0,0.2,,hairline
GC_col_II,column,II,not_exposed,cracked,0.2,,,plaster_spalling;shear_if_diagonal_min_0.3
GC_col_III,column,III,exposed_intact,cracked,,,,cover_spalling;tie_intact;main_not_buckled
GC_col_IV,column,IV,tie_opened|tie_fractured|main_buckled,cracked|crushed,,,,large_area_spalling;rebar_exposed
GC_col_V,column,V,main_buckled|main_ruptured,crushed|core_disintegrated|blown_out,,,,core_crushing;story_sag
GC_beam_I,beam,I,not_exposed,intact|cracked,0,0.2,,hairline
GC_beam_II,beam,II,not_exposed,cracked,0,0.3,diagonal_45,plaster_spalling
GC_beam_III,beam,III,exposed_intact,cracked,0.3,,,cover_spalling;tie_intact;main_not_buckled
GC_beam_IV,beam,IV,tie_fractured|main_buckled,cracked|crushed,,,,large_area_spalling;rebar_exposed
GC_beam_V,beam,V,tie_fractured|main_buckled|main_ruptured,crushed|core_disintegrated,,,,story_sag;beam_sagging
GC_wall_I,shear_wall,I,na,cracked,0,0.3,horizontal,
GC_wall_II,shear_wall,II,na,cracked,0.3,0.5,horizontal,extends_to_column;diagonal_under_half_diagonal
GC_wall_III,shear_wall,III,not_exposed,cracked,,,diagonal_45|x_cross,no_rebar_visible;diagonal_under_half_diagonal
GC_wall_IV,shear_wall,IV,exposed_intact,cracked,,,diagonal_45|x_cross,many_diagonal;rebar_visible_not_ruptured;edge_column_spall
GC_wall_V,shear_wall,V,main_ruptured,crushed|blown_out|core_disintegrated,,,diagonal_45|x_cross,edge_column_crush;col_rebar_buckled;slab_sag
GC_brick_I,bearing_wall,I,na,cracked,0,5,diagonal_45|x_cross|horizontal|vertical,brick_crack_le_0.5cm
GC_brick_II,bearing_wall,II,na,cracked|crushed,5,,diagonal_45|x_cross|horizontal,brick_crack_gt_0.5cm;wall_beam_separation
