position_on_member,member_type,inferred_mechanism,reasoning_zh,source
column_top,column,flexural,柱頂彎矩最大(反曲點在柱中央)軸力併合彎矩破壞保護層剝落,教材;勘災作業準則
column_bottom,column,flexural,柱底彎矩最大軸力併合彎矩破壞保護層剝落若箍筋不足主筋挫屈,教材;勘災作業準則
column_mid,column,shear,柱中央未配置圍束箍筋箍筋間距大易剪力破壞斜裂縫寬表示剪力筋已降伏,教材;勘災作業準則
column_mid,column,short_column_effect,窗台或牆束制致短柱中央剪力控制破壞,教材;判定準則
beam_end,beam,flexural,梁兩端彎矩最大端點彎矩破壞受壓側混凝土剝落正常塑鉸為III級,教材;勘災作業準則
beam_end,beam,shear,梁端近柱大斜裂縫剪力破壞嚴重時連帶主筋下混凝土剝落,教材;判定準則
beam_mid,beam,flexural,梁中央反曲點彎矩小無隔間牆長梁中央垂直裂紋,自行檢測簡易手冊;判定準則
beam_mid,beam,shear,梁下有隔間磚牆(牆短於梁)留短梁產生大剪力剪力破壞,教材;判定準則
joint_region,beam_column_joint,joint_failure,梁柱接頭斜裂或混凝土擠壓破碎無緊密圍束箍筋,教材;勘災作業準則
wall_center,shear_wall,shear,牆中央斜裂縫寬大剪力筋降伏或握裹破壞嚴重剪力破壞,教材;勘災作業準則
wall_corner,shear_wall,axial_compression,牆兩端彎矩併合軸力破壞壓力側保護層剝落主筋挫屈核心爆裂,教材;勘災作業準則
wall_corner,shear_wall,flexural,牆拉力側主筋降伏續接不良可能拉斷,教材;勘災作業準則
opening_corner,shear_wall,shear,開口角隅應力集中斜向裂縫,自我檢查手冊;自行檢測簡易手冊
wall_column_interface,spandrel_or_sill_wall,short_column_effect,窗台牆與柱交界束制柱形成短柱效應,判定準則;教材
base,foundation_or_column_base,axial_compression,柱底或柱腳破壞基礎與上部結構脫離錯開,教材;判定準則
mid_height,brace,buckling,鋼斜撐中段挫屈,明細表;教材
distributed,shear_wall,shear,大量分布斜裂縫遍及牆面,判定準則;安全耐震我的家
