id,member_type,grade,damage_coefficient,severity_ordinal,criteria_text,source
col_I,column,I,0.1,1,輕微如髮絲之裂縫裂縫寬約在0.2mm以內,判定準則
col_II,column,II,0.2,2,有明顯之裂痕裂縫寬約在0.2mm以上且混凝土粉刷層剝落剪力斜裂縫0.3mm以上,判定準則
col_III,column,III,0.3,3,混凝土保護層剝落但主筋未挫屈箍筋未脫開或斷裂,判定準則
col_IV,column,IV,0.65,4,混凝土保護層脫落範圍大部分箍筋已脫開或斷裂主筋可能已挫屈鋼筋外露,判定準則
col_V,column,V,1.0,5,箍筋脫開斷裂主筋挫屈嚴重柱內混凝土碎裂脫落樓層下陷,判定準則
beam_I,beam,I,0.1,1,輕微如髮絲之裂縫裂縫寬約在0.2mm以內,判定準則
beam_II,beam,II,0.2,2,剪力裂縫0.3mm以下混凝土粉刷層脫落,判定準則
beam_III,beam,III,0.3,3,裂縫0.3mm以上混凝土保護層脫落但主筋未挫屈箍筋未斷裂,判定準則
beam_IV,beam,IV,0.65,4,保護層脫落範圍大部分箍筋斷裂主筋可能挫屈鋼筋外露,判定準則
beam_V,beam,V,1.0,5,箍筋斷裂脫落主筋挫屈嚴重梁中混凝土裂開樓層下陷,判定準則
wall_I,shear_wall,I,0.1,1,輕微裂縫水平向裂縫在0.3mm以下,判定準則
wall_II,shear_wall,II,0.2,2,水平向裂縫多且延伸至柱裂縫寬度0.3mm至0.5mm斜向裂縫長度未超過牆對角線長度一半,判定準則
wall_III,shear_wall,III,0.3,3,有斜向裂縫但未見牆內主筋斜向裂縫長度未超過牆對角線一半,判定準則
wall_IV,shear_wall,IV,0.65,4,有大量之斜向裂縫可見牆內主筋但未拉斷邊柱之保護層脫落,判定準則
wall_V,shear_wall,V,1.0,5,斜向裂縫擴大牆內主筋拉斷邊柱壓潰柱筋挫屈混凝土碎裂脫出樓板下陷,判定準則
brick_I,bearing_wall,I,0.3,1,磚牆裂縫不大於0.5公分,判定準則
brick_II,bearing_wall,II,1.0,2,磚牆裂縫大於0.5公分牆頂與梁底交界分開,判定準則
stair_minor,staircase,III,0.3,3,樓梯平台或轉角處發生裂縫直向裂紋速請評估,自我檢視因應手冊;自行檢測簡易手冊
stair_severe,staircase,IV,0.65,4,樓梯混凝土嚴重剝裂鋼筋外露樓梯平台沿踏步處水平斷裂,自我檢視因應手冊;自行檢測簡易手冊
slab_minor,slab,III,0.3,3,樓板角隅出現裂縫速請評估,自我檢視因應手冊;安全耐震我的家
slab_severe,slab,IV,0.65,4,樓板混凝土剝落鋼筋外露樓板開裂管線破壞,自我檢視因應手冊;安全耐震我的家
