mechanism_id,damage_type,strength,source
flexural,horizontal_crack,typical,教材;勘災作業準則
flexural,cover_spalling,typical,判定準則;教材
flexural,main_rebar_ruptured,severe,教材
shear,diagonal_crack_45,typical,判定準則;教材
shear,x_shaped_crack,typical,判定準則;教材
shear,through_crack,severe,判定準則
shear,mortar_joint_crack,typical,教材
axial_compression,cover_spalling,early,教材
axial_compression,large_area_spalling_rebar_exposed,typical,判定準則
axial_compression,core_concrete_crushing,severe,判定準則
axial_compression,concrete_blowout,severe,判定準則
axial_compression,tie_opened,typical,教材
axial_compression,tie_fractured,severe,判定準則;教材
axial_compression,main_rebar_buckled,severe,判定準則;教材
axial_compression,column_shortening,severe,判定準則;教材
axial_compression,compression_crushing,severe,判定準則;教材
short_column_effect,diagonal_crack_45,typical,教材
short_column_effect,x_shaped_crack,typical,教材
joint_failure,joint_diagonal_crack,typical,教材;勘災作業準則
joint_failure,beam_column_joint_failure,severe,教材
buckling,steel_buckling,typical,明細表;教材
connection_failure,bolt_loosened_or_sheared,typical,明細表;教材
connection_failure,weld_cracking,typical,明細表;教材
connection_failure,member_detachment,severe,明細表;教材
non_structural_falling,tile_spalling,typical,自行檢測簡易手冊;教材
non_structural_falling,exterior_finish_spalling,typical,明細表;教材
non_structural_falling,curtain_wall_damage,typical,明細表;教材
non_structural_falling,glass_breakage,typical,明細表;教材
non_structural_falling,ceiling_collapse,typical,明細表;教材
non_structural_falling,pipe_detachment,typical,明細表;教材
non_structural_falling,parapet_damage,typical,明細表;教材
non_structural_toppling,partition_collapse,typical,明細表;教材
non_structural_toppling,cabinet_toppling,typical,明細表;教材
non_structural_toppling,fence_collapse,typical,明細表;教材
non_structural_toppling,water_tank_tilt,typical,明細表;教材
non_structural_toppling,exterior_stair_tilt,typical,明細表;教材
non_structural_toppling,utility_pole_tilt,typical,明細表;教材
