id,category,label_zh,typical_member,typical_mechanism,typical_position,typical_depth,grade_hint,severity_weight,source
none,none,無損害,any,na,na,na,na,none,判定準則
hairline_crack,crack,髮絲裂縫,column;beam;shear_wall,flexural,distributed,surface_finish,I,low,判定準則
surface_map_crack,crack,表面網狀/龜裂,non_structural_element;slab,non_structural_falling,distributed,surface_finish,I,low,新北市震後檢測;自我檢查手冊
horizontal_crack,crack,水平向裂縫,column;shear_wall,flexural,column_top;wall_center,plaster,I_II,low,判定準則
vertical_crack,crack,垂直向裂縫,column;beam;bearing_wall,flexural,column_mid;beam_mid,plaster,I_II,low,判定準則;自行檢測簡易手冊
diagonal_crack_45,crack,斜向45度裂縫,column;beam;shear_wall;bearing_wall,shear,column_mid;wall_center;beam_end,plaster,II_III,medium,判定準則;教材
x_shaped_crack,crack,X形交叉裂縫,shear_wall;bearing_wall;column,shear,wall_center;column_mid,cover,III_IV,high,判定準則;教材;安全耐震我的家
through_crack,crack,貫穿裂縫,shear_wall;bearing_wall;slab,shear,wall_center;distributed,through,III_IV,high,判定準則
offset_crack,crack,錯位/錯動裂縫,shear_wall;bearing_wall;staircase,shear,wall_center;base,through,IV_V,high,自行檢測簡易手冊
mortar_joint_crack,crack,沿磚縫/砂漿界面裂縫,bearing_wall;partition_wall,shear,distributed,surface_finish,I_II,medium,判定準則;教材
joint_diagonal_crack,crack,接頭斜裂縫,beam_column_joint,joint_failure,joint_region,cover,III_IV,high,教材;勘災作業準則
cover_spalling,spalling,混凝土保護層剝落,column;beam;shear_wall,flexural,column_top;column_bottom;beam_end,cover,III,medium,判定準則
large_area_spalling_rebar_exposed,spalling,大範圍保護層脫落鋼筋外露,column;beam;shear_wall,axial_compression,column_top;column_bottom,cover,IV,high,判定準則
core_concrete_crushing,spalling,核心混凝土碎裂,column;shear_wall,axial_compression,column_top;column_bottom;wall_corner,core,V,critical,判定準則
concrete_blowout,spalling,混凝土爆裂,column,axial_compression,column_top;column_bottom,core,V,critical,判定準則
tile_spalling,non_structural,磁磚剝落,non_structural_element;curtain_wall,non_structural_falling,distributed,surface_finish,na,low,自行檢測簡易手冊;教材
plaster_spalling,non_structural,粉刷層剝落,non_structural_element;column;beam,non_structural_falling,distributed,plaster,I_II,low,判定準則;自我檢查手冊
compression_crushing,spalling,壓潰破壞,bearing_wall;column,axial_compression,wall_corner;column_bottom,core,V,critical,判定準則;教材
rebar_exposed_intact,rebar,鋼筋裸露但完好,column;beam;shear_wall,flexural,column_top;beam_end,cover,III,medium,判定準則
tie_opened,rebar,箍筋脫開,column;beam,axial_compression,column_top;column_bottom,core,IV,high,判定準則;教材
tie_fractured,rebar,箍筋斷裂,column;beam,axial_compression,column_top;column_bottom,core,IV_V,critical,判定準則;教材
main_rebar_buckled,rebar,主筋挫屈(燈籠狀),column;shear_wall,axial_compression,column_top;column_bottom,core,V,critical,判定準則;教材
main_rebar_ruptured,rebar,主筋拉斷,shear_wall;column;beam,flexural,wall_corner;column_top,core,V,critical,判定準則;教材
rebar_corrosion,rebar,鋼筋鏽蝕,column;beam;slab,na,distributed,cover,na,low,自我檢視因應手冊
