id,name,value,unit,applies_to,source
TH_hair,hairline_grade_I,0.2,mm,column;beam;general,判定準則
TH_shear2,shear_crack_grade_II,0.3,mm,column;beam,判定準則
TH_beam3,beam_crack_grade_III,0.3,mm,beam,判定準則
TH_wallh1,wall_horizontal_grade_I,0.3,mm,shear_wall,判定準則
TH_wallh2,wall_horizontal_grade_II,0.5,mm,shear_wall,判定準則
TH_brick,brick_crack_grade_boundary,0.5,cm,bearing_wall;confined_masonry,判定準則
TH_coin,coin_selfcheck_50nt,0.2,cm,general,新北市震後檢測;自行檢測簡易手冊
TH_tilt_minor,tilt_jia_yi_boundary,0.01667,ratio,building,明細表;教材
TH_tilt_severe,tilt_yi_bing_boundary,0.03333,ratio,building,明細表;教材;判定準則
TH_tilt_repair,tilt_repair_threshold,0.005,ratio,building,自我檢視因應手冊
TH_tilt_demolish,tilt_demolish_threshold,0.025,ratio,building,自我檢視因應手冊
TH_base,base_separation,5,cm,foundation_or_column_base,明細表;判定準則
TH_base_insurance,base_separation_insurance_fullloss,30,cm,foundation_or_column_base,住宅地震保險
TH_settle_insurance,settlement_insurance_fullloss,10,cm,building,住宅地震保險
TH_basepct_minor,base_pct_jia_yi_boundary,10,ratio,foundation_or_column_base,明細表;教材
TH_basepct_severe,base_pct_yi_bing_boundary,20,ratio,foundation_or_column_base,明細表;教材
TH_sup1,support_disp_jia_yi_boundary,0.25,ratio,masonry_support;timber_support,明細表;教材
TH_sup2,support_disp_yi_bing_boundary,0.5,ratio,masonry_support;timber_support,明細表;教材
TH_member_pct_V,member_grade_V_pct_bing,10,ratio,column;beam;shear_wall,明細表;教材
TH_member_pct_IVV,member_grade_IV_plus_V_pct_bing,20,ratio,column;beam;shear_wall,明細表;教材
TH_brickwall_pct_yi,brickwall_damage_pct_jia_yi,20,ratio,bearing_wall;confined_masonry,明細表;教材
TH_brickwall_pct_bing,brickwall_damage_pct_yi_bing,50,ratio,bearing_wall;confined_masonry,明細表;教材
TH_glass_yi,glass_finish_pct_jia_yi,1,ratio,curtain_wall;non_structural_element,教材
TH_glass_bing,glass_finish_pct_yi_bing,10,ratio,curtain_wall;non_structural_element,教材
TH_fullloss_repair,fullloss_repair_cost_ratio,50,ratio,building,住宅地震保險;判定準則
TH_id_value,seismic_capacity_id_legal,0.35,ratio,building,自我檢視因應手冊;耐震評估補強方案
TH_opening_excl,wall_opening_exclusion_ratio,0.2,ratio,shear_wall;bearing_wall,判定準則
TH_chloride,chloride_content_sea_sand,0.3,ratio,reinforced_concrete,安全耐震我的家
TH_fema_flex_insig,fema_rc_flexure_insignificant_crack,4.8,mm,reinforced_concrete,FEMA-306
TH_fema_flex_slight,fema_rc_flexure_slight_crack,6.4,mm,reinforced_concrete,FEMA-306
TH_fema_shear_insig,fema_rc_shear_insignificant_crack,1.6,mm,reinforced_concrete,FEMA-306
TH_fema_shear_mod,fema_rc_shear_moderate_crack,3.2,mm,reinforced_concrete,FEMA-306
TH_fema_shear_heavy,fema_rc_shear_heavy_crack_max,9.5,mm,reinforced_concrete,FEMA-306
TH_aci_cover_earth,aci_cover_cast_against_earth,75,mm,reinforced_concrete,ACI-318
TH_aci_cover_weather,aci_cover_exposed_weather,50,mm,reinforced_concrete,ACI-318
TH_aci_cover_beamcol,aci_cover_beams_columns_interior,40,mm,reinforced_concrete,ACI-318
TH_aci_cover_slab,aci_cover_slabs_walls_interior,20,mm,reinforced_concrete,ACI-318
TH_fema154_cutoff,fema154_rvs_score_cutoff,2.0,ratio,building,FEMA-154
